"","x"
"1",102261.254505245
"2",101135.050028882
"3",100021.24845652
"4",98919.7131948216
"5",97830.3091547532
"6",96752.9027350194
"7",95687.3618056771
"8",94633.5556919322
"9",93591.3551581136
"10",92560.6323918241
"11",91541.2609882663
"12",90533.1159347402
"13",89536.0735953124
"14",88550.0116956535
"15",87574.8093080429
"16",86610.3468365382
"17",85656.5060023091
"18",84713.1698291312
"19",83780.2226290408
"20",82857.5499881471
"21",81945.0387526011
"22",81042.5770147185
"23",80150.0540992556
"24",79267.3605498368
"25",78394.3881155306
"26",77531.0297375746
"27",76677.1795362459
"28",75832.7327978761
"29",74997.58596201
"30",74171.6366087049
"31",73354.7834459701
"32",72546.9262973449
"33",71747.9660896134
"34",70957.8048406541
"35",70176.3456474238
"36",69403.4926740739
